metric,value
best_val_loss,0.3819243609905243
final_val_loss,0.38608744740486145
best_val_r2,0.6207098364830017
final_val_r2,0.6165841221809387
test_loss,0.3835548758506775
test_r2,0.617960512638092
checkpoint_path,/data/models/canonical/std_d128_rep_02/lightning_logs/version_0/checkpoints/best-epoch=062-val_loss=0.3819.ckpt
best_val_r2_23C,0.6415401101112366
best_val_r2_25C,0.6476155519485474
best_val_r2_27C,0.6506367325782776
best_val_r2_30C,0.6379217505455017
best_val_r2_33C,0.6500350832939148
best_val_r2_35C,0.5941562652587891
best_val_r2_37C,0.6047269105911255
best_val_r2_cu,0.6111383438110352
best_val_r2_suloc,0.6235095858573914
best_val_r2_ynb,0.507366418838501
best_val_r2_eth,0.607837438583374
best_val_r2_gu,0.5702094435691833
best_val_r2_li,0.646087646484375
best_val_r2_mann,0.6095594763755798
best_val_r2_mol,0.6398240327835083
best_val_r2_raff,0.6708064079284668
best_val_r2_sds,0.6512678861618042
best_val_r2_4NQO,0.6085376739501953
test_r2_23C,0.6372023820877075
test_r2_25C,0.6495866775512695
test_r2_27C,0.6559728384017944
test_r2_30C,0.6424789428710938
test_r2_33C,0.6470632553100586
test_r2_35C,0.6000221967697144
test_r2_37C,0.5944678783416748
test_r2_cu,0.6286680698394775
test_r2_suloc,0.6417449116706848
test_r2_ynb,0.4866940379142761
test_r2_eth,0.6172242164611816
test_r2_gu,0.5581403970718384
test_r2_li,0.6342139840126038
test_r2_mann,0.6015777587890625
test_r2_mol,0.6187881231307983
test_r2_raff,0.6608585119247437
test_r2_sds,0.6469181776046753
test_r2_4NQO,0.6016663908958435
