metric,value
best_val_loss,0.38554513454437256
final_val_loss,0.8986607193946838
best_val_r2,0.6171823740005493
final_val_r2,0.10737403482198715
test_loss,0.3888932168483734
test_r2,0.612665057182312
checkpoint_path,/data/models/canonical/std_d128_rep_03/lightning_logs/version_0/checkpoints/best-epoch=063-val_loss=0.3855.ckpt
best_val_r2_23C,0.6427826285362244
best_val_r2_25C,0.6460915207862854
best_val_r2_27C,0.6467446088790894
best_val_r2_30C,0.633472740650177
best_val_r2_33C,0.6455283164978027
best_val_r2_35C,0.5940766334533691
best_val_r2_37C,0.6059044599533081
best_val_r2_cu,0.608445942401886
best_val_r2_suloc,0.6185386776924133
best_val_r2_ynb,0.502548336982727
best_val_r2_eth,0.6053650379180908
best_val_r2_gu,0.5666873455047607
best_val_r2_li,0.6465837359428406
best_val_r2_mann,0.5901236534118652
best_val_r2_mol,0.634562611579895
best_val_r2_raff,0.6683142185211182
best_val_r2_sds,0.645714282989502
best_val_r2_4NQO,0.6077976226806641
test_r2_23C,0.6330142617225647
test_r2_25C,0.6415824890136719
test_r2_27C,0.6476937532424927
test_r2_30C,0.6343464851379395
test_r2_33C,0.6394844651222229
test_r2_35C,0.5926092863082886
test_r2_37C,0.5871815085411072
test_r2_cu,0.6223735809326172
test_r2_suloc,0.6395399570465088
test_r2_ynb,0.4906079173088074
test_r2_eth,0.6127904653549194
test_r2_gu,0.5520306825637817
test_r2_li,0.634406328201294
test_r2_mann,0.5892837047576904
test_r2_mol,0.6098546981811523
test_r2_raff,0.6558660268783569
test_r2_sds,0.6391975283622742
test_r2_4NQO,0.6061075925827026
